ASSET_Y_COL,ASSET_X_COL,OLS_WINDOW_DAYS,ZSCORE_WINDOW_DAYS,BETA_P_VALUE_THRESHOLD,MIN_OLS_R_SQUARED_THRESHOLD,ENTRY_ZSCORE,EXIT_ZSCORE,STOP_LOSS_ZSCORE,POSITION_SIZE_PCT,MIN_NOMINAL_PER_LEG,TAKER_FEE_PCT,SLIPPAGE_PCT,SL_COOLDOWN_HOURS,PNL_STOP_LOSS_PCT,INITIAL_CAPITAL,RISK_FREE_RATE_ANNUAL,RESAMPLE_ALL_DATA_TO_MINUTES,DEFAULT_DATA_FREQ_MINUTES,BETA_MIN_THRESHOLD,BETA_MAX_THRESHOLD,BETA_ROLL_STD_MAX,TRAIL_STOP_PCT,Initial Equity,Final Equity,Total Return (%),CAGR (%),Max Drawdown (%),"Sharpe Ratio (Annualized, Daily Ret)","Sortino Ratio (Annualized, Daily Ret)",Calmar Ratio,Number of Trades,Win Rate (%),Average Win ($),Average Loss ($),Profit Factor,Total Fees Paid ($)
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.0,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1477.8317299205662,-26.108413503971693,-95.74700499510098,-15.48428464921362,-7.091317612410518,-6.581879385397369,-6.1834955352595875,16,43.75,27.11255543368799,-79.10695023774596,0.26657004285609176,6.081104729659183
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.0,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1674.9978889759677,-16.25010555120161,-84.28603327702628,-8.157919426485504,-3.70944629277346,-3.020338528082189,-10.331805068260811,20,60.0,16.0419712845395,-64.6882208048133,0.37198359496415123,7.770701058735789
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.0,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1617.358437668238,-19.132078116588104,-89.09615578620664,-8.236507812531569,-3.7555709650585456,-2.16389425107829,-10.817224704218681,20,55.00000000000001,12.882938317391906,-58.26154264700804,0.27026084074763446,7.6121572783676665
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.25,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1597.6553598106243,-20.11723200946879,-90.40536462617222,-8.460288398974647,-6.1115347280485075,-4.01758256488829,-10.685849035256172,14,50.0,22.47225666519936,-79.95085469462062,0.2810758778131158,5.356017821121392
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.25,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1748.6871715188115,-12.565641424059425,-75.37300886983988,-4.51798887823458,-3.658831284917955,-2.3041406711969743,-16.682867289237805,16,56.25,21.458244378252054,-63.49100398363665,0.4345366998855051,6.245107950386528
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,2.25,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1702.1573234887062,-14.892133825564692,-81.41409046718789,-4.626318597465828,-3.3703884848027235,-1.521477268731469,-17.598029351412226,16,50.0,18.360526187700934,-55.59086075161262,0.3302795808422218,6.155771695132087
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.5,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1216.3438429223181,-39.18280785388409,-99.4426078392325,-12.513834562245274,-5.122965864256657,-4.7698606216776325,-7.9466135935067195,61,39.34426229508197,14.454037444650846,-30.555608194124385,0.3068370230572794,20.643549162005222
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.5,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1083.996677934811,-45.80016610325944,-99.83247537091643,-15.696538718178765,-6.25146158531028,-5.625782240919398,-6.3601585778459935,64,31.25,9.64237691822831,-25.201245998853867,0.17391594841755115,20.01545185992274
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.5,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1014.6445373294524,-49.267773133527385,-99.91597137537661,-16.789390073046405,-6.493706318181045,-5.19917988119099,-5.951137649471922,84,28.57142857142857,7.170561937578704,-19.29087765189075,0.14868295920949762,25.273606371407777
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.75,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1285.7599055213332,-35.71200472393335,-99.00528588495246,-11.968134005128528,-5.286231791518675,-4.053290620540765,-8.272407865965336,50,42.0,16.043002729954747,-36.24647769150161,0.3205096755421784,17.547509257564847
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.75,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1169.2111059847166,-41.53944470076417,-99.63098143681898,-14.041033945050074,-5.8384670944692525,-4.411339226639199,-7.0957012016869445,51,31.372549019607842,10.438531876528813,-28.508847975347173,0.16738313279230502,16.5766958430489
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,1.75,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1139.3250464868033,-43.033747675659825,-99.7183591733078,-14.238377544832371,-6.039768972576891,-4.401113902098845,-7.003491715212964,60,31.666666666666664,6.6542918757662095,-24.07586987743731,0.12808244316028036,18.95042410265867
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,2.0,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1353.3000536287152,-32.33499731856424,-98.30281865250082,-14.695556319914594,-5.255942069243797,-3.7688311843448736,-6.689288687852283,43,41.86046511627907,19.561215156862588,-39.95224844100211,0.3525227105487982,15.573031548686737
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,2.0,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1250.9045713546775,-37.45477143226612,-99.2533093140758,-16.296260440090204,-6.221531561095757,-4.621701976596317,-6.090557381490058,45,37.77777777777778,11.387016558681534,-33.66709891684626,0.20535020807247364,15.363352934351132
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,2.0,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1236.685741791593,-38.165712910420346,-99.33728129440861,-15.872140051241034,-6.237909172706987,-4.198813278019537,-6.258594050563552,48,33.33333333333333,8.888556598724346,-28.29797428664927,0.1570528778612589,16.16394361110987
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,2.25,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1404.7055029187204,-29.764724854063985,-97.49565113246457,-12.964431552862866,-4.611458076960121,-3.089545267579087,-7.52024111006511,35,42.857142857142854,22.144669338630315,-46.373454790788664,0.35814674750676,12.73424217684013
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,15,3,0.05,0.6,2.25,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1307.8128879959836,-34.60935560020082,-98.81211693516181,-14.611364941831662,-5.575962925656905,-3.9200082837698518,-6.762688997813427,37,40.54054054054054,10.327687430463154,-38.504848530584646,0.18287580226764655,12.716421349736763
